station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,altim_in_hg,elevation_m
LEST,2021-12-03T02:30:00Z,42.88,-8.42,5,5,170,1,30.295275,363
LESO,2021-12-03T02:30:00Z,43.35,-1.8,8,6,0,2,30.147638,3
LESB,2021-12-03T02:30:00Z,39.6,2.7,6,5,260,4,29.911417,48
LESA,2021-12-03T02:30:00Z,40.95,-5.5,-2,-3,220,6,30.206694,788
LERT,2021-12-03T02:30:00Z,36.63,-6.33,8,1,10,5,30.206694,27
LERS,2021-12-03T02:30:00Z,41.13,1.17,8,2,300,7,29.88189,68
LEPP,2021-12-03T02:30:00Z,42.77,-1.65,6,3,340,17,30.029528,448
LEPA,2021-12-03T02:30:00Z,39.55,2.73,5,4,300,5,29.911417,8
LEMO,2021-12-03T02:30:00Z,37.17,-5.62,1,0,0,0,30.206694,82
LEMI,2021-12-03T02:30:00Z,37.8,-1.12,10,-4,320,17,30.059055,193
LEMH,2021-12-03T02:30:00Z,39.87,4.22,9,0,350,15,29.822834,82
LEMG,2021-12-03T02:30:00Z,36.67,-4.47,12,-1,300,12,30.147638,5
LEMD,2021-12-03T02:30:00Z,40.45,-3.57,2,-2,10,2,30.11811,589
LELO,2021-12-03T02:30:00Z,42.45,-2.32,6,4,260,12,30.088583,352
LELN,2021-12-03T02:30:00Z,42.58,-5.65,2,0,280,5,30.147638,911
LELL,2021-12-03T02:30:00Z,41.52,2.1,4,-3,320,4,29.852362,136
LELC,2021-12-03T02:30:00Z,37.77,-0.8,10,-3,310,9,30.059055,3
LEJR,2021-12-03T02:30:00Z,36.75,-6.07,6,1,350,13,30.177166,25
LEIB,2021-12-03T02:30:00Z,38.87,1.38,12,2,330,9,29.940945,4
LEHC,2021-12-03T02:30:00Z,42.08,-0.32,6,0,260,21,29.822834,540
LEGR,2021-12-03T02:30:00Z,37.18,-3.78,-1,-1,0,1,30.177166,560
LEGE,2021-12-03T02:30:00Z,41.9,2.77,0,-3,160,3,29.852362,140
LEDA,2021-12-03T02:30:00Z,41.73,0.53,3,1,270,5,29.852362,352
LECO,2021-12-03T02:30:00Z,43.3,-8.37,7,7,170,6,30.265747,80
LECH,2021-12-03T02:30:00Z,40.2,0.07,9,-1,320,7,29.911417,360
LEBT,2021-12-03T02:30:00Z,39.58,-0.45,5,-2,0,1,30,50
LEBR,2021-12-03T02:30:00Z,42.2,-1.43,7,4,300,12,30.029528,347
LEBL,2021-12-03T02:30:00Z,41.28,2.07,6,-2,280,5,29.852362,2
LEBG,2021-12-03T02:30:00Z,42.37,-3.62,2,1,310,6,30.11811,892
LEBB,2021-12-03T02:30:00Z,43.28,-2.92,9,7,320,3,30.147638,38
LEBA,2021-12-03T02:30:00Z,37.85,-4.83,0,-2,0,1,30.206694,88
LEAS,2021-12-03T02:30:00Z,43.57,-6.03,9,7,230,9,30.236221,120
LEAM,2021-12-03T02:30:00Z,36.85,-2.37,13,-3,320,15,30.088583,16
LEAL,2021-12-03T02:30:00Z,38.27,-0.55,10,-5,240,6,30.029528,26
LEAG,2021-12-03T02:30:00Z,36.12,-5.45,12,0,320,6,30.177166,4
LEAB,2021-12-03T02:30:00Z,38.95,-1.85,4,-2,280,10,30.088583,704
LDZD,2021-12-03T02:30:00Z,44.1,15.33,8,2,80,9,29.557087,82
LDZA,2021-12-03T02:30:00Z,45.72,16.07,3,2,260,6,29.675198,103
LDSP,2021-12-03T02:30:00Z,43.53,16.3,11,8,320,5,29.52756,16
LDPL,2021-12-03T02:30:00Z,44.88,13.92,6,3,50,6,29.586615,63
LDOS,2021-12-03T02:30:00Z,45.47,18.82,4,3,300,10,29.616142,82
LDDU,2021-12-03T02:30:00Z,42.57,18.27,14,9,160,12,29.586615,156
LCPH,2021-12-03T02:30:00Z,34.72,32.47,12,6,20,7,30.11811,8
LCLK,2021-12-03T02:30:00Z,34.87,33.62,11,7,290,6,30.11811,2
LBWN,2021-12-03T02:30:00Z,43.22,27.82,5,3,340,3,29.734253,74
LBSF,2021-12-03T02:30:00Z,42.65,23.37,12,2,200,21,29.675198,592
LBPD,2021-12-03T02:30:00Z,42.05,24.85,0,-1,10,4,29.763779,182
LBGO,2021-12-03T02:30:00Z,43.15,25.72,4,1,70,6,29.675198,84
LBBG,2021-12-03T02:30:00Z,42.57,27.52,7,5,250,9,29.763779,41
KQFX,2021-12-03T02:30:00Z,,,5,-12,250,7,30.050198,
KQFW,2021-12-03T02:30:00Z,,,4,-13,210,7,29.84941,
KQFV,2021-12-03T02:30:00Z,,,1,-13,,,30.050198,
KQFU,2021-12-03T02:30:00Z,,,3,-13,260,4,30.121063,
KQFT,2021-12-03T02:30:00Z,,,4,-13,20,3,30.070866,
KQFB,2021-12-03T02:30:00Z,,,8,1,300,2,30.088583,
KQEY,2021-12-03T02:30:00Z,,,6,-1,280,5,29.769686,
KQEW,2021-12-03T02:30:00Z,,,7,-6,270,8,30.02067,
KQEV,2021-12-03T02:30:00Z,,,7,-3,300,3,30.059055,
KQEQ,2021-12-03T02:30:00Z,,,3,-12,320,6,30.138779,
KQEP,2021-12-03T02:30:00Z,,,4,-15,270,8,30.100393,
KQEN,2021-12-03T02:30:00Z,,,2,0,250,11,,
KQEJ,2021-12-03T02:30:00Z,,,2,-14,220,4,29.991142,
KQEI,2021-12-03T02:30:00Z,,,3,-14,70,4,30,
KPO1,2021-12-03T02:30:00Z,48.13,-105.17,5,-1,330,16,29.890747,621
KHRF,2021-12-03T02:30:00Z,46.25,-114.13,11,1,140,5,30.088583,1112
KESF,2021-12-03T02:30:00Z,31.4,-92.28,13.9,13.3,0,0,30.121063,27
K3U3,2021-12-03T02:30:00Z,46.15,-112.87,7,-2,10,8,30.100393,1534
K38S,2021-12-03T02:30:00Z,46.38,-112.77,7,-1,,,30.138779,1430
K1S3,2021-12-03T02:30:00Z,46.27,-106.62,,,,,,831
HRYR,2021-12-03T02:30:00Z,-1.97,30.13,19,17,330,4,30.059055,1493
HECA,2021-12-03T02:30:00Z,30.12,31.4,15,10,90,3,30.088583,68
GOBD,2021-12-03T02:30:00Z,14.67,-17.07,22,16,360,16,29.822834,90
GMTT,2021-12-03T02:30:00Z,35.72,-5.9,7,5,90,6,30.177166,19
GMMX,2021-12-03T02:30:00Z,31.62,-8.03,9,8,60,5,30.177166,465
GMMN,2021-12-03T02:30:00Z,33.37,-7.58,7,7,170,4,30.236221,196
GMME,2021-12-03T02:30:00Z,34.05,-6.77,9,9,200,3,30.177166,84
GMFO,2021-12-03T02:30:00Z,34.78,-1.92,8,5,250,9,30.088583,452
GMFF,2021-12-03T02:30:00Z,33.92,-4.97,5,4,200,7,30.206694,575
GMAD,2021-12-03T02:30:00Z,30.32,-9.42,11,7,320,3,29.970472,66
GLRB,2021-12-03T02:30:00Z,6.25,-10.35,26,25,0,0,29.793306,12
GEML,2021-12-03T02:30:00Z,35.27,-2.95,14,4,280,9,30.11811,48
GECE,2021-12-03T02:30:00Z,,,,,,,,
GCXO,2021-12-03T02:30:00Z,28.48,-16.35,13,12,320,16,30.236221,623
GCTS,2021-12-03T02:30:00Z,28.05,-16.57,19,10,40,12,30.177166,59
GCRR,2021-12-03T02:30:00Z,28.95,-13.58,17,14,20,16,30.147638,9
GCLP,2021-12-03T02:30:00Z,27.92,-15.38,19,13,20,21,30.177166,16
GCLA,2021-12-03T02:30:00Z,28.62,-17.75,19,12,350,15,30.236221,20
GCHI,2021-12-03T02:30:00Z,27.82,-17.88,20,14,10,17,30.206694,21
GCGM,2021-12-03T02:30:00Z,28.03,-17.22,19,12,30,13,30.177166,217
GCFV,2021-12-03T02:30:00Z,28.43,-13.87,19,13,10,16,30.147638,11
FMMI,2021-12-03T02:30:00Z,-18.8,47.47,13,12,110,4,30.206694,1269
FMEP,2021-12-03T02:30:00Z,-21.32,55.42,25,21,100,9,30.029528,21
FMEE,2021-12-03T02:30:00Z,-20.88,55.52,26,20,120,12,30.029528,20
FMCZ,2021-12-03T02:30:00Z,-12.8,45.27,25,24,0,2,29.911417,7
FAOR,2021-12-03T02:30:00Z,-26.13,28.23,15,12,190,5,30.206694,1684
ETIH,2021-12-03T02:30:00Z,49.22,11.83,0,-3,280,5,29.799213,436
EPWR,2021-12-03T02:30:00Z,51.1,16.88,-2,-4,300,9,29.734253,118
EPWA,2021-12-03T02:30:00Z,52.17,20.97,1,-3,270,11,29.586615,107
EPSY,2021-12-03T02:30:00Z,53.47,20.93,0,-3,270,7,29.498032,136
EPSC,2021-12-03T02:30:00Z,53.58,14.9,-1,-2,220,8,29.586615,47
EPRZ,2021-12-03T02:30:00Z,50.1,22.02,2,-3,290,6,29.586615,206
EPPO,2021-12-03T02:30:00Z,52.42,16.83,0,-3,270,10,29.64567,87
EPMO,2021-12-03T02:30:00Z,52.45,20.65,-1,-1,250,8,29.586615,102
EPLL,2021-12-03T02:30:00Z,51.72,19.4,0,-4,260,12,29.616142,176
EPLB,2021-12-03T02:30:00Z,51.23,22.72,1,-1,280,7,29.586615,206
EPKT,2021-12-03T02:30:00Z,50.47,19.08,-2,-5,280,8,29.64567,296
EPKK,2021-12-03T02:30:00Z,50.07,19.8,1,-5,240,7,29.64567,237
EPGD,2021-12-03T02:30:00Z,54.37,18.47,-2,-4,260,8,29.498032,136
EPBY,2021-12-03T02:30:00Z,53.1,18,-1,-2,270,13,29.586615,66
EINN,2021-12-03T02:30:00Z,52.7,-8.92,10,8,320,10,29.763779,20
EIDW,2021-12-03T02:30:00Z,53.42,-6.28,9,8,280,13,29.64567,75
DTTJ,2021-12-03T02:30:00Z,33.87,10.77,15,8,250,18,29.763779,3
DTTA,2021-12-03T02:30:00Z,36.85,10.22,12,9,280,8,29.675198,4
DTNH,2021-12-03T02:30:00Z,36.07,10.43,11,4,290,3,29.704725,1
DTMB,2021-12-03T02:30:00Z,35.77,10.75,11,6,240,6,29.704725,1
DIAP,2021-12-03T02:30:00Z,5.25,-3.92,28,25,250,5,29.763779,4
DAUH,2021-12-03T02:30:00Z,31.67,6.15,8,7,280,3,29.852362,141
DAOO,2021-12-03T02:30:00Z,35.62,-0.62,7,4,240,5,30.059055,87
DAON,2021-12-03T02:30:00Z,35.02,-1.47,8,5,200,5,30.11811,245
DAAT,2021-12-03T02:30:00Z,22.82,5.47,13,-8,110,5,30.059055,1372
DAAG,2021-12-03T02:30:00Z,36.68,3.22,9,8,230,6,29.940945,18
CYQD,2021-12-03T02:30:00Z,53.97,-101.08,-12,-14,130,9,29.878937,268
CYMH,2021-12-03T02:30:00Z,52.3,-55.82,-4,-5,170,3,29.940945,18
BKPR,2021-12-03T02:30:00Z,42.58,21.03,8,2,190,8,29.616142,545
BIKF,2021-12-03T02:30:00Z,63.98,-22.6,1,-3,270,11,29.114174,49
YCDU,2021-12-03T02:29:00Z,-32.12,133.7,18,9,120,13,30.11811,21
PATQ,2021-12-03T02:29:00Z,70.47,-157.43,-31,-34,100,7,30.549213,28
KTCL,2021-12-03T02:29:00Z,33.22,-87.62,11.7,11.1,0,0,30.121063,48
KAAF,2021-12-03T02:29:00Z,29.73,-85.03,14.4,13.9,0,0,30.129921,5
EHVK,2021-12-03T02:29:00Z,51.65,5.7,0,0,230,9,29.822834,20
CYXS,2021-12-03T02:29:00Z,53.88,-122.68,-3,-5,180,10,30.129921,685
CYVL,2021-12-03T02:29:00Z,67.02,-126.13,-29,-32,330,9,30.360237,261
CYHZ,2021-12-03T02:29:00Z,44.87,-63.5,11,11,180,15,29.509842,136
CYFC,2021-12-03T02:29:00Z,45.87,-66.53,2,2,180,5,29.350393,16
CYAT,2021-12-03T02:29:00Z,52.93,-82.43,-14,-16,280,11,29.769686,4
KROC,2021-12-03T02:28:00Z,43.12,-77.68,3.3,0.6,330,17,29.731298,166
KLBX,2021-12-03T02:28:00Z,29.12,-95.47,17.2,15.6,0,0,30.129921,4
KJST,2021-12-03T02:28:00Z,40.32,-78.83,5.6,-1.7,310,20,29.811024,695
KGOV,2021-12-03T02:28:00Z,44.68,-84.73,-1,-3,320,6,29.929134,350
KDXR,2021-12-03T02:28:00Z,41.37,-73.48,10,4.4,270,14,29.58071,138
KAUG,2021-12-03T02:28:00Z,44.32,-69.8,5,3.9,210,5,29.379921,107
UTO8,2021-12-03T02:27:00Z,,,,,,,,
RJKI,2021-12-03T02:27:00Z,28.32,129.92,19,12,310,15,30.059055,6
PARC,2021-12-03T02:27:00Z,68.12,-145.58,-42,,350,3,30.318897,626
PALU,2021-12-03T02:27:00Z,68.88,-166.1,-14,-21,180,19,30.31004,8
KRDR,2021-12-03T02:27:00Z,47.93,-97.4,-2,-3,100,4,29.97933,276
KGLR,2021-12-03T02:27:00Z,45.02,-84.68,-0.6,-3.9,330,4,29.929134,403
KFAR,2021-12-03T02:27:00Z,46.9,-96.82,0,-1.1,0,0,30,276
CYPH,2021-12-03T02:27:00Z,58.47,-78.08,-14,-16,330,9,29.309055,24
CYGV,2021-12-03T02:27:00Z,50.28,-63.62,3,2,120,11,29.480314,32
RJAH,2021-12-03T02:26:00Z,36.17,140.42,13,5,190,7,29.852362,31
PAJC,2021-12-03T02:26:00Z,56.32,-158.37,-3,-6,230,12,30.351377,10
LTBJ,2021-12-03T02:26:00Z,38.28,27.15,12,11,200,3,30,123
KRND,2021-12-03T02:26:00Z,29.53,-98.27,17,17,0,0,30.088583,224
KPQI,2021-12-03T02:26:00Z,46.68,-68.05,3,2,0,0,29.309055,154
ETIC,2021-12-03T02:26:00Z,49.7,11.93,-1,-1,260,5,29.769686,414
EHGR,2021-12-03T02:26:00Z,51.55,4.93,1,0,210,5,29.822834,12
CYVT,2021-12-03T02:26:00Z,55.83,-108.42,-7,-10,310,23,29.681103,438
PHBK,2021-12-03T02:25:00Z,22.03,-159.78,24.4,21.7,40,6,29.929134,5
PASA,2021-12-03T02:25:00Z,63.68,-170.5,-11,-12,70,31,30.159449,9
OPLA,2021-12-03T02:25:00Z,31.52,74.4,11,8,0,0,30.029528,217
KMYF,2021-12-03T02:25:00Z,32.82,-117.13,14.4,11.7,330,4,30.100393,128
KGFK,2021-12-03T02:25:00Z,47.95,-97.18,-1.7,-3.3,70,3,29.991142,256
KCII,2021-12-03T02:25:00Z,47.83,-112.17,7,-4,290,10,30.02067,1202
ETEB,2021-12-03T02:25:00Z,49.32,10.63,-1,-1,280,8,29.819881,466
EHWO,2021-12-03T02:25:00Z,51.45,4.33,2,2,210,5,29.822834,15
EHVL,2021-12-03T02:25:00Z,53.28,5.08,7,0,260,17,29.734253,2
EHSC,2021-12-03T02:25:00Z,51.93,3.67,7,2,270,18,29.822834,19
EHSA,2021-12-03T02:25:00Z,52,3.28,6,2,240,17,29.822834,18
EHRD,2021-12-03T02:25:00Z,51.95,4.45,3,2,190,7,29.793306,-4
EHQE,2021-12-03T02:25:00Z,52.92,4.15,7,0,250,12,29.734253,41
EHPG,2021-12-03T02:25:00Z,52.37,3.35,6,2,0,18,29.793306,24
EHMG,2021-12-03T02:25:00Z,53.62,4.97,6,0,250,23,29.763779,30
EHMA,2021-12-03T02:25:00Z,53.5,5.95,7,1,250,14,29.704725,27
EHLW,2021-12-03T02:25:00Z,53.22,5.75,2,1,230,6,29.734253,1
EHLE,2021-12-03T02:25:00Z,52.45,5.52,1,0,210,8,29.793306,-3
EHKV,2021-12-03T02:25:00Z,53.27,3.63,7,1,270,21,29.704725,28
EHKD,2021-12-03T02:25:00Z,52.92,4.77,6,1,250,11,29.734253,1
EHJR,2021-12-03T02:25:00Z,53.22,3.22,7,2,250,19,,31
EHJA,2021-12-03T02:25:00Z,53.82,2.95,7,1,240,24,29.734253,34
EHHW,2021-12-03T02:25:00Z,54.03,6.03,8,0,270,17,29.675198,10
EHGG,2021-12-03T02:25:00Z,53.12,6.57,1,0,220,8,29.734253,2
EHFS,2021-12-03T02:25:00Z,51.45,3.6,4,3,210,14,29.822834,1
EHFD,2021-12-03T02:25:00Z,54.85,4.7,7,0,260,23,29.616142,24
EHEH,2021-12-03T02:25:00Z,51.45,5.38,1,0,220,8,29.852362,20
EHDV,2021-12-03T02:25:00Z,54.32,2.93,7,2,250,19,29.64567,36
EHDL,2021-12-03T02:25:00Z,52.07,5.88,0,-1,200,3,29.793306,49
EHBK,2021-12-03T02:25:00Z,50.92,5.77,1,0,220,9,29.852362,112
EHAM,2021-12-03T02:25:00Z,52.32,4.78,1,0,200,8,29.793306,-2
EHAK,2021-12-03T02:25:00Z,55.38,3.82,6,2,260,16,29.586615,33
EBLB,2021-12-03T02:25:00Z,50.47,6.17,,,250,6,29.822834,563
EBFS,2021-12-03T02:25:00Z,50.23,4.65,1,0,230,7,29.88189,276
EBFN,2021-12-03T02:25:00Z,51.08,2.65,2,-1,220,7,29.88189,9
EBDT,2021-12-03T02:25:00Z,51.02,5.07,1,1,220,4,29.852362,25
EBCV,2021-12-03T02:25:00Z,50.57,3.82,1,0,230,9,29.911417,56
EBBL,2021-12-03T02:25:00Z,51.17,5.47,0,0,230,8,29.852362,50
EBBE,2021-12-03T02:25:00Z,50.75,4.77,1,1,230,11,29.852362,127
CYJT,2021-12-03T02:25:00Z,48.55,-58.57,5,3,60,9,29.799213,7
YPPH,2021-12-03T02:24:00Z,-31.93,115.98,25,10,120,15,30.088583,16
KTDR,2021-12-03T02:24:00Z,30.05,-85.52,16,15,0,0,30.109253,4
KSDM,2021-12-03T02:24:00Z,32.58,-117,13.9,11.7,0,3,30.088583,161
KORE,2021-12-03T02:24:00Z,42.57,-72.28,5.6,3.3,0,3,29.518702,165
KMEI,2021-12-03T02:24:00Z,32.33,-88.75,12.8,10.6,0,0,30.129921,90
KHEY,2021-12-03T02:24:00Z,31.35,-85.65,12,11,0,0,30.109253,95
KFIT,2021-12-03T02:24:00Z,42.55,-71.75,6.1,2.8,300,17,29.509842,102
KCEW,2021-12-03T02:24:00Z,30.78,-86.52,11.7,10.6,0,0,30.15059,47
KCEF,2021-12-03T02:24:00Z,42.2,-72.52,5,3,330,12,29.53937,72
CYZX,2021-12-03T02:24:00Z,44.98,-64.92,11,10,190,12,29.459646,28
KVSF,2021-12-03T02:23:00Z,43.35,-72.52,2.8,2.2,0,0,29.471457,176
KSMP,2021-12-03T02:23:00Z,47.28,-121.33,-0.6,-1.7,0,4,30.221457,1206
KPTK,2021-12-03T02:23:00Z,42.67,-83.42,2.8,-2.2,320,7,29.940945,295
KBGM,2021-12-03T02:23:00Z,42.22,-75.98,3.3,1.1,290,11,29.619095,485
CZBF,2021-12-03T02:23:00Z,47.62,-65.75,1,1,240,3,29.371063,60
CYYJ,2021-12-03T02:23:00Z,48.63,-123.42,2,1,250,5,30.351377,16
CYSC,2021-12-03T02:23:00Z,45.43,-71.68,4,2,250,10,29.350393,236
CYRT,2021-12-03T02:23:00Z,62.82,-92.12,-25,-29,320,24,29.778543,29
CYBU,2021-12-03T02:23:00Z,53.32,-104,-4,-4,200,10,29.819881,369
KNTD,2021-12-03T02:22:00Z,34.12,-119.12,10.6,7.8,290,3,30.100393,1
CYXY,2021-12-03T02:21:00Z,60.72,-135.07,-13,-16,350,6,29.911417,677
CYXU,2021-12-03T02:21:00Z,43.03,-81.15,2,0,320,11,29.870079,278
CYPO,2021-12-03T02:21:00Z,54.98,-85.43,-18,-21,270,13,29.769686,49
VNKT,2021-12-03T02:20:00Z,27.68,85.37,15,11,0,0,30.206694,1334
RJCT,2021-12-03T02:20:00Z,42.88,143.17,2,1,0,2,29.88189,79
PKWA,2021-12-03T02:20:00Z,8.72,167.72,28.1,24,0,0,29.66929,6
LTFM,2021-12-03T02:20:00Z,41.27,28.75,12,9,210,17,29.88189,99
LTFJ,2021-12-03T02:20:00Z,40.9,29.3,11,10,240,7,29.88189,83
LTFE,2021-12-03T02:20:00Z,37.25,27.67,12,11,320,3,30.059055,6
LTFC,2021-12-03T02:20:00Z,37.87,30.38,-1,-3,10,4,30.11811,862
LTCS,2021-12-03T02:20:00Z,37.45,38.9,2,-3,350,7,30.177166,825
LTCJ,2021-12-03T02:20:00Z,37.93,41.12,-2,-3,340,2,30.177166,559
LTCG,2021-12-03T02:20:00Z,41,39.77,7,0,220,3,30.059055,28
LTCE,2021-12-03T02:20:00Z,39.95,41.17,-17,-18,0,0,30.206694,1758
LTCC,2021-12-03T02:20:00Z,37.88,40.2,-1,-4,0,0,30.147638,676
LTBU,2021-12-03T02:20:00Z,41.13,27.92,10,8,200,8,29.88189,165
LTBS,2021-12-03T02:20:00Z,36.7,28.78,11,7,20,7,30.088583,2
LTBR,2021-12-03T02:20:00Z,40.25,29.57,0,0,30,3,29.940945,233
LTBA,2021-12-03T02:20:00Z,40.97,28.82,14,10,210,14,29.88189,33
LTAZ,2021-12-03T02:20:00Z,38.77,34.52,-3,-5,90,8,30.11811,944
LTAU,2021-12-03T02:20:00Z,38.77,35.48,-5,-6,0,1,30.147638,1053
LTAT,2021-12-03T02:20:00Z,38.43,38.08,-6,-7,210,6,30.236221,850
LTAP,2021-12-03T02:20:00Z,40.83,35.52,-2,-4,0,1,30.059055,536
LTAJ,2021-12-03T02:20:00Z,36.95,37.48,2,1,0,0,30.147638,684
LTAI,2021-12-03T02:20:00Z,36.9,30.8,9,3,340,7,30.11811,50
LTAG,2021-12-03T02:20:00Z,37,35.42,6,4,360,1,30.147638,62
LTAF,2021-12-03T02:20:00Z,36.98,35.28,7,3,0,1,30.147638,19
LTAC,2021-12-03T02:20:00Z,40.12,32.98,-2,-4,0,2,30.059055,952
LSZS,2021-12-03T02:20:00Z,46.53,9.88,-9,-12,0,1,29.64567,1708
LSZR,2021-12-03T02:20:00Z,47.48,9.57,1,1,280,8,29.911417,396
LSZL,2021-12-03T02:20:00Z,46.17,8.88,6,-9,120,4,29.734253,198
LSZH,2021-12-03T02:20:00Z,47.48,8.53,0,-2,0,2,29.911417,424
LSZG,2021-12-03T02:20:00Z,47.17,7.42,-4,-5,0,2,29.911417,428
LSZC,2021-12-03T02:20:00Z,46.97,8.38,0,-2,260,3,29.940945,445
LSZB,2021-12-03T02:20:00Z,46.92,7.5,-1,-2,140,3,29.911417,510
LSZA,2021-12-03T02:20:00Z,46,8.92,6,-10,10,13,29.704725,276
LSMP,2021-12-03T02:20:00Z,46.83,6.92,0,-2,170,4,29.911417,490
LSMM,2021-12-03T02:20:00Z,46.75,8.12,-1,-1,0,2,29.911417,570
LSME,2021-12-03T02:20:00Z,47.1,8.3,-1,-1,0,0,29.940945,427
LSMD,2021-12-03T02:20:00Z,47.4,8.65,0,-2,270,3,29.911417,436
LSMA,2021-12-03T02:20:00Z,46.95,8.28,-1,-1,0,1,29.940945,441
LSGS,2021-12-03T02:20:00Z,46.22,7.32,-2,-5,0,0,29.940945,482
LSGG,2021-12-03T02:20:00Z,46.25,6.12,-2,-4,0,1,29.911417,411
LSGC,2021-12-03T02:20:00Z,47.08,6.8,-4,-6,270,2,29.852362,1018
LOWW,2021-12-03T02:20:00Z,48.12,16.57,4,-2,320,17,29.704725,179
LOWS,2021-12-03T02:20:00Z,47.78,13.02,0,0,300,9,29.822834,427
LOWL,2021-12-03T02:20:00Z,48.22,14.18,2,0,280,11,29.793306,290
LOWK,2021-12-03T02:20:00Z,46.65,14.32,0,0,290,4,29.704725,450
LOWI,2021-12-03T02:20:00Z,47.27,11.33,1,-1,110,5,29.822834,570
LOWG,2021-12-03T02:20:00Z,47,15.43,1,0,0,1,29.675198,337
LLBG,2021-12-03T02:20:00Z,32,34.88,11,8,0,2,30.088583,35
LIRZ,2021-12-03T02:20:00Z,43.1,12.5,5,5,360,9,29.557087,206
LIRQ,2021-12-03T02:20:00Z,43.8,11.2,7,5,140,5,29.586615,33
LIRN,2021-12-03T02:20:00Z,40.88,14.3,10,10,80,3,29.586615,76
LIRF,2021-12-03T02:20:00Z,41.78,12.23,9,8,80,6,29.52756,2
LIRA,2021-12-03T02:20:00Z,41.8,12.58,11,6,190,6,29.52756,101
LIPZ,2021-12-03T02:20:00Z,45.5,12.35,6,5,340,6,29.64567,3
LIPY,2021-12-03T02:20:00Z,43.62,13.37,6,5,180,4,29.586615,11
LIPX,2021-12-03T02:20:00Z,45.38,10.87,4,4,360,4,29.64567,67
LIPR,2021-12-03T02:20:00Z,44.02,12.62,7,5,280,6,29.616142,10
LIPQ,2021-12-03T02:20:00Z,45.82,13.47,6,5,10,4,29.64567,6
LIPO,2021-12-03T02:20:00Z,45.42,10.33,3,3,290,4,29.675198,104
LIPH,2021-12-03T02:20:00Z,45.63,12.18,6,5,0,2,29.64567,10
LIPE,2021-12-03T02:20:00Z,44.52,11.3,6,6,290,4,29.64567,37
LIMZ,2021-12-03T02:20:00Z,44.53,7.62,0,-1,200,7,29.64567,377
LIML,2021-12-03T02:20:00Z,45.47,9.27,1,1,20,4,29.675198,109
LIMJ,2021-12-03T02:20:00Z,44.42,8.83,10,-5,30,18,29.557087,3
LIMF,2021-12-03T02:20:00Z,45.22,7.65,3,-1,330,3,29.64567,295
LIME,2021-12-03T02:20:00Z,45.67,9.7,4,3,350,2,29.675198,239
LIMC,2021-12-03T02:20:00Z,45.62,8.72,7,-10,30,10,29.64567,221
LIEO,2021-12-03T02:20:00Z,40.88,9.52,9,5,260,8,29.586615,8
LIEE,2021-12-03T02:20:00Z,39.25,9.07,9,6,350,11,29.64567,1
LIEA,2021-12-03T02:20:00Z,40.62,8.28,10,0,290,7,29.64567,22
LICR,2021-12-03T02:20:00Z,38.07,15.65,16,9,150,14,29.675198,16
LICD,2021-12-03T02:20:00Z,35.5,12.62,15,10,240,17,29.704725,20
LICC,2021-12-03T02:20:00Z,37.47,15.05,9,8,210,3,29.675198,6
LICB,2021-12-03T02:20:00Z,37,14.62,13,9,200,4,29.704725,212
LICA,2021-12-03T02:20:00Z,38.9,16.25,8,7,70,6,29.675198,7
LIBR,2021-12-03T02:20:00Z,40.65,17.95,15,9,200,11,29.616142,5
LIBP,2021-12-03T02:20:00Z,42.42,14.18,9,9,0,1,29.586615,10
LIBD,2021-12-03T02:20:00Z,41.13,16.77,11,9,260,6,29.616142,42
LGTS,2021-12-03T02:20:00Z,40.52,22.97,7,6,0,0,29.793306,4
LGSO,2021-12-03T02:20:00Z,37.42,24.95,17,14,220,9,29.970472,71
LGRP,2021-12-03T02:20:00Z,36.4,28.08,14,12,0,2,30.029528,3
LGPZ,2021-12-03T02:20:00Z,38.92,20.77,15,11,0,2,29.852362,3
LGKZ,2021-12-03T02:20:00Z,40.28,21.83,8,4,220,6,29.793306,615
LGKL,2021-12-03T02:20:00Z,37.07,22.02,9,9,0,2,29.940945,4
LGIR,2021-12-03T02:20:00Z,35.33,25.17,16,11,170,15,30,37
LGIO,2021-12-03T02:20:00Z,39.7,20.82,10,9,170,5,29.822834,476
LGEL,2021-12-03T02:20:00Z,38.07,23.55,11,9,0,3,29.822834,21
LGAV,2021-12-03T02:20:00Z,37.93,23.95,12,9,0,1,29.911417,83
LGAD,2021-12-03T02:20:00Z,37.92,21.28,14,12,190,5,29.88189,8
LCRA,2021-12-03T02:20:00Z,34.58,32.98,11,6,330,3,30.11811,23
LCEN,2021-12-03T02:20:00Z,35.15,33.5,8,5,260,4,30.11811,91
LATI,2021-12-03T02:20:00Z,41.42,19.72,15,7,150,11,29.675198,32
KWVL,2021-12-03T02:20:00Z,44.52,-69.67,1,1,0,0,29.350393,87
KMTK,2021-12-03T02:20:00Z,,,20,15,0,0,30.180119,
KMNE,2021-12-03T02:20:00Z,32.65,-93.3,15,14,0,0,30.109253,84
KLCH,2021-12-03T02:20:00Z,30.13,-93.22,15,14.4,190,3,30.138779,2
KKLS,2021-12-03T02:20:00Z,46.12,-122.9,8,5,0,0,30.369095,4
KGUL,2021-12-03T02:20:00Z,27.3,-93.53,22,17,120,3,30.15059,20
EYVI,2021-12-03T02:20:00Z,54.63,25.28,1,-3,240,18,29.320866,180
